protein_Organism,count
['Homo sapiens'],19576
['Bos taurus'],6182
['Escherichia coli'],5466
['Sus scrofa'],3657
['Mus musculus'],3621
['Thermosynechococcus vestitus'],3343
['Rattus norvegicus'],2920
['Ovis aries'],2212
['Cereibacter sphaeroides'],2193
['Thermostichus vulcanus'],1791
['Saccharomyces cerevisiae'],1592
['Dokdonia eikasta'],1529
['Chlamydomonas reinhardtii'],1381
['Arabidopsis thaliana'],1335
['Chaetoceros neogracilis'],1270
['Halobacterium salinarum'],1202
['Oryctolagus cuniculus'],901
['Synechocystis sp.'],836
['Gloeobacter violaceus'],781
['Bacillus coahuilensis'],764
['Pisum sativum'],749
['Thermochromatium tepidum'],740
['Dunaliella salina'],725
['Tetrahymena thermophila SB210'],724
['Mycobacterium tuberculosis'],658
['Yarrowia lipolytica'],640
['Pseudomonas aeruginosa'],621
['Thermus thermophilus'],527
['Danio rerio'],477
['Nonlabens marinus S1-08'],464
['Gallus gallus'],432
['Drosophila melanogaster'],428
['Methylococcus capsulatus'],406
['Caenorhabditis elegans'],400
['Spirochaeta thermophila'],398
['Agrobacterium fabrum  (Agrobacterium tumefaciens )'],393
['Squalus acanthias'],388
['Chroomonas placoidea'],366
['Rhodopseudomonas palustris'],361
['Staphylococcus aureus'],345
['Nostoc sp.'],340
['Blastochloris viridis'],328
['Aquifex aeolicus'],327
['Bacillus subtilis'],319
['Streptococcus thermophilus'],302
['Acaryochloris marina'],300
['Pseudomonas putida'],298
['Cereibacter sphaeroides f. sp. denitrificans'],287
"['Homo sapiens', 'Escherichia coli']",284
['Tetrahymena thermophila'],278
['Trypanosoma brucei brucei'],262
['Roseiflexus castenholzii DSM 13941'],258
['Euglena gracilis'],257
['Gemmatimonas phototrophica'],256
['Mycolicibacterium smegmatis (strain ATCC 700084 / mc155)'],255
['Physcomitrium patens'],255
['Methanocaldococcus jannaschii'],253
['Human immunodeficiency virus type 1 group M subtype B'],250
['Spinacia oleracea'],244
['Mycolicibacterium smegmatis MC2 155'],238
['Thermotoga maritima'],237
['Klebsiella pneumoniae'],232
['Salmonella typhimurium'],231
['Porphyridium purpureum'],230
['Natronomonas pharaonis'],228
['Magnetospirillum molischianum'],228
['Meleagris gallopavo'],224
['Ostreococcus tauri'],220
['Chlorella ohadii'],219
['Deinococcus radiodurans'],214
['synthetic construct'],207
['Severe acute respiratory syndrome coronavirus 2'],203
['Gloeobacter violaceus (strain ATCC 29082 / PCC 7421)'],200
['Corynebacterium glutamicum'],200
['Cereibacter sphaeroides 2.4.1'],196
['Amphidinium carterae'],194
['Chlorella sorokiniana'],187
['Aspergillus fumigatus'],177
['Rhodobacter capsulatus'],176
['Vibrio cholerae serotype O1'],176
['Cyanidioschyzon merolae strain 10D'],175
['Bryopsis corticulans'],173
['Salpingoeca rosetta (strain ATCC 50818 / BSB-021)'],168
['Synechococcus elongatus PCC 7942 = FACHB-805'],168
['Pyrococcus horikoshii'],168
['Rhodospirillum rubrum'],167
['Symbiodinium'],162
['Aliarcobacter butzleri'],161
['Pyrococcus abyssi'],153
['Thermochaetoides thermophila DSM 1495'],153
['Tetronarce californica'],148
['Mycobacterium tuberculosis H37Rv'],147
['Neisseria gonorrhoeae'],146
['Mycolicibacterium smegmatis MC2 51'],141
['Thalassiosira pseudonana'],139
['Xenopus laevis'],137
['Poliovirus type 1'],137
['Acinetobacter baumannii'],135
['Organic Lake phycodnavirus'],134
['Aequorea victoria'],129
['Magnetococcus marinus'],128
['Stephanocyclus meneghinianus'],127
['Plasmodium vivax'],125
['Enterobacteria phage T4'],121
['Candidatus Actinomarina minuta'],116
['Haemophilus influenzae'],116
['Bacillus cereus'],115
['Erythrobacter sp. HL-111'],114
['Ictidomys tridecemlineatus'],108
['Eubacterium ramulus'],103
['Rhodopila globiformis'],100
['Arthrospira platensis'],99
['Allochromatium tepidum'],99
['Candida albicans'],97
['Aplysia californica'],96
['Roseiflexus castenholzii'],96
['Geobacillus kaustophilus'],96
['Leishmania major'],95
['Enterococcus hirae'],94
['Oryza sativa subsp. japonica'],92
['Chroococcidiopsis sp. TS-821'],91
['Picea abies'],91
['Ilyobacter tartaricus'],88
['Cyanophora paradoxa'],88
['Corynebacterium glutamicum ATCC 13032'],87
['Mesocricetus auratus'],85
['Streptomyces antibioticus'],85
['Salmonella typhi'],85
['Trypanosoma brucei gambiense'],85
['Nicotiana suaveolens'],85
['Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155)'],84
['Cyanobacterium aponinum'],84
['Cupriavidus metallidurans'],84
['Fusobacterium nucleatum subsp. nucleatum'],83
['Fusarium vanettenii (strain ATCC MYA-4622 / CBS 123669 / FGSC 9596 / NRRL 45880 / 77-13-4)'],82
['Escherichia coli O6:H1'],82
['Archaeoglobus fulgidus'],80
['Thermosynechococcus vestitus BP-1'],78
['Priestia megaterium'],78
['Allochromatium vinosum'],77
['Chaetomium thermophilum'],76
['Synechococcus sp. PCC 7335'],75
['Hyphochytrium catenoides'],75
['Fischerella thermalis PCC 7521'],75
['Galdieria sulphuraria'],74
['Thermomyces lanuginosus'],73
['Hordeum vulgare subsp. spontaneum'],73
['Synechocystis sp. PCC 7509'],73
['Fischerella thermalis JSC-11'],72
['Plexaura homomalla'],72
['Thiorhodovibrio sp. 970'],71
['Plasmodium falciparum'],71
['uncultured Actinomycetes bacterium'],71
['Cyanidium caldarium'],71
['Neisseria meningitidis'],70
['Renibacterium salmoninarum'],68
['Enterobacter cloacae'],66
['Vigna radiata var. radiata'],66
['Pseudomonas fluorescens'],65
['Nematostella vectensis'],64
['Tolypothrix sp. NIES-4075'],64
['Effrenium voratum'],63
['Pyrococcus furiosus'],62
['Coelastrella'],62
['Phaeovulum veldkampii DSM 11550'],62
['Schizosaccharomyces pombe'],62
['Vigna radiata'],62
['Ascaris suum'],61
"['Homo sapiens', 'Enterobacteria phage T4']",61
['Bacillus anthracis'],59
['Streptomyces coelicolor (strain ATCC BAA-471 / A3 / M145)'],59
['Halorubrum sodomense'],59
['Synthetic peptide'],58
['Aspergillus terreus'],57
['Helicobacter pylori'],57
['Rhodomonas lens'],56
['Bacteroides thetaiotaomicron'],56
['Zea mays'],55
"['Clavularia sp.', 'Homo sapiens']",55
['Chlamydia trachomatis'],55
['Saccharomyces cerevisiae (strain ATCC 204508 / S288c)'],54
['Methanosarcina mazei'],54
"['Aequorea victoria', 'Rattus norvegicus']",54
['Thermosipho africanus'],53
['Escherichia coli (strain K12)'],53
['Hordeum vulgare'],53
['Avena sativa'],52
['Halomicronema hongdechloris C2206'],51
['Listeria monocytogenes serovar 1/2a'],51
['Campylobacter jejuni subsp. jejuni serotype O:2'],51
['Apis mellifera'],51
['Toxoplasma gondii'],51
['Synechocystis sp. (strain PCC 6803 / Kazusa)'],50
['Leptosphaeria maculans'],49
['Glycine max'],49
['Bdellovibrio bacteriovorus'],48
['Parus major'],48
['Rhodomonas salina'],48
['Aedes aegypti'],48
['Trypanosoma cruzi'],47
['Corynebacterium pollutisoli'],47
['Shigella flexneri serotype X'],47
